type,iron
BEEF,2.07
BEEF,1.92
BEEF,2.94
BEEF,2.96
BEEF,2.91
BEEF,2.07
BEEF,3.22
BEEF,3.24
BEEF,3.24
BEEF,2.26
BEEF,3.44
BEEF,3.24
BEEF,3.35
BEEF,3.33
BEEF,3.38
BEEF,1.66
BEEF,3.57
BEEF,3.66
BEEF,1.77
BEEF,3.65
BEEF,3.66
BEEF,2.87
BEEF,1.69
BEEF,1.78
BEEF,1.59
BEEF,1.84
BEEF,3.25
BEEF,3.27
BEEF,3.26
BEEF,2.48
BEEF,2.27
BEEF,2.41
BEEF,2.25
BEEF,1.64
BEEF,2.43
BEEF,3.14
BEEF,3.23
BEEF,3.07
BEEF,2.51
BEEF,2.52
BEEF,2.51
BEEF,2.06
BEEF,2.04
BEEF,2.08
BEEF,3.04
BEEF,2.64
BEEF,2.69
BEEF,2.57
BEEF,3.11
BEEF,2.08
BEEF,2.08
BEEF,2.12
BEEF,1.69
BEEF,2.2
BEEF,1.73
BEEF,2.24
BEEF,1.52
BEEF,2.11
BEEF,1.7
BEEF,2.46
BEEF,1.59
BEEF,2.43
BEEF,1.69
BEEF,2.43
BEEF,1.67
BEEF,2.53
BEEF,1.73
BEEF,2.61
BEEF,1.61
BEEF,2.46
BEEF,2.04
BEEF,3.13
BEEF,2.01
BEEF,3.08
BEEF,2.07
BEEF,3.2
BEEF,2.47
BEEF,2.52
BEEF,2.42
BEEF,1.74
BEEF,2.19
BEEF,2.37
BEEF,1.72
BEEF,2.18
BEEF,2.35
BEEF,1.77
BEEF,2.22
BEEF,2.41
BEEF,1.7
BEEF,2.13
BEEF,2.17
BEEF,1.71
BEEF,2.19
BEEF,2.35
BEEF,1.68
BEEF,2.12
BEEF,2.3
BEEF,1.74
BEEF,2.19
BEEF,2.39
BEEF,1.65
BEEF,2.08
BEEF,2.33
BEEF,1.39
BEEF,1.66
BEEF,2.42
BEEF,1.38
BEEF,1.64
BEEF,2.39
BEEF,1.4
BEEF,1.67
BEEF,2.44
BEEF,1.77
BEEF,2.23
BEEF,1.95
BEEF,3.02
BEEF,2.49
BEEF,1.99
BEEF,2.55
BEEF,2
BEEF,2.56
BEEF,1.74
BEEF,2.67
BEEF,2.16
BEEF,1.84
BEEF,2.7
BEEF,2.15
BEEF,1.63
BEEF,2.64
BEEF,2.16
BEEF,1.81
BEEF,2.29
BEEF,1.92
BEEF,2.33
BEEF,1.69
BEEF,2.24
BEEF,2
BEEF,2.81
BEEF,1.99
BEEF,2.79
BEEF,2.02
BEEF,2.83
BEEF,2.5
BEEF,3.4
BEEF,1.85
BEEF,3.16
BEEF,2.53
BEEF,1.97
BEEF,3.14
BEEF,2.54
BEEF,2.97
BEEF,1.74
BEEF,3.18
BEEF,2.52
BEEF,2.04
BEEF,2.84
BEEF,2.49
BEEF,2
BEEF,1.91
BEEF,2.95
BEEF,1.64
BEEF,3.24
BEEF,1.47
BEEF,1.69
BEEF,1.61
BEEF,1.75
BEEF,1.47
BEEF,1.63
BEEF,1.58
BEEF,2.26
BEEF,1.42
BEEF,1.69
BEEF,3.11
BEEF,1.43
BEEF,1.76
BEEF,3.11
BEEF,1.42
BEEF,1.63
BEEF,3.11
BEEF,2.35
BEEF,3.15
BEEF,3.12
BEEF,1.48
BEEF,1.73
BEEF,1.46
BEEF,1.81
BEEF,3.42
BEEF,1.51
BEEF,1.66
BEEF,3.2
BEEF,3.19
BEEF,2.95
BEEF,2.94
BEEF,1.74
BEEF,1.68
BEEF,2.78
BEEF,1.7
BEEF,1.75
BEEF,1.66
BEEF,1.49
BEEF,1.7
BEEF,1.47
BEEF,1.62
BEEF,1.51
BEEF,3.24
BEEF,3.02
BEEF,2.8
BEEF,2.81
BEEF,2.8
BEEF,3.26
BEEF,3.25
BEEF,1.55
BEEF,1.54
BEEF,2.18
BEEF,2.18
BEEF,2.21
BEEF,1.98
BEEF,2.83
BEEF,2.66
BEEF,3.19
BEEF,3.21
BEEF,3.2
BEEF,2.02
BEEF,1.69
BEEF,5.42
BEEF,2.62
BEEF,1.98
BEEF,3
BEEF,2.13
BEEF,3.2
BEEF,1.64
BEEF,3.24
BEEF,1.73
BEEF,3.32
BEEF,2.14
BEEF,2.67
BEEF,2.38
BEEF,2.98
BEEF,2.01
BEEF,2.58
BEEF,2.39
BEEF,2.14
BEEF,2.57
BEEF,2.64
BEEF,3.23
BEEF,2.23
BEEF,2.78
BEEF,2.62
BEEF,3.1
BEEF,1.94
BEEF,2.51
BEEF,2.01
BEEF,2.49
BEEF,2.34
BEEF,2.92
BEEF,2.91
BEEF,3.12
BEEF,1.95
BEEF,2.59
BEEF,2.22
BEEF,2.77
BEEF,2.31
BEEF,2.79
BEEF,2.36
BEEF,2.88
BEEF,1.96
BEEF,2.51
BEEF,2.53
BEEF,2.99
BEEF,2.6
BEEF,2.53
BEEF,2.34
BEEF,2.45
BEEF,2.97
BEEF,2.86
BEEF,2.93
BEEF,2.31
BEEF,2.08
BEEF,2.24
BEEF,2.88
BEEF,2.81
BEEF,2.87
BEEF,2.27
BEEF,2.33
BEEF,2.28
BEEF,3.76
BEEF,3.36
BEEF,3.6
BEEF,3.53
BEEF,3.32
BEEF,3.42
BEEF,2.51
BEEF,2.26
BEEF,2.44
BEEF,2.96
BEEF,2.84
BEEF,3.06
BEEF,2.12
BEEF,2.2
BEEF,2.09
BEEF,3.25
BEEF,3.15
BEEF,3.21
BEEF,2.68
BEEF,2.53
BEEF,2.37
BEEF,2.19
BEEF,2.13
BEEF,2.27
BEEF,3.26
BEEF,3.27
BEEF,3.31
BEEF,2.38
BEEF,2.37
BEEF,2.38
BEEF,2.66
BEEF,2.56
BEEF,2.22
BEEF,2.28
BEEF,2.16
BEEF,2.8
BEEF,2.82
BEEF,2.76
BEEF,3.29
BEEF,3.38
BEEF,3.21
BEEF,2.43
BEEF,2.5
BEEF,2.25
BEEF,2.7
BEEF,2.67
BEEF,2.76
BEEF,2.24
BEEF,2.3
BEEF,2.15
BEEF,3.53
BEEF,3.7
BEEF,3.29
BEEF,2.49
BEEF,2.51
BEEF,2.46
BEEF,2.1
BEEF,2.16
BEEF,1.97
BEEF,2.45
BEEF,2.46
BEEF,2.42
BEEF,2.1
BEEF,2.1
BEEF,2.14
BEEF,2.36
BEEF,2.35
BEEF,2.65
BEEF,2.34
BEEF,1.96
BEEF,1.95
BEEF,1.99
BEEF,1.94
BEEF,2.04
BEEF,1.8
BEEF,2.62
BEEF,2.61
BEEF,2.63
BEEF,2.13
BEEF,2.2
BEEF,2.02
BEEF,2.47
BEEF,1.75
BEEF,2.51
BEEF,1.74
BEEF,2.36
BEEF,1.76
BEEF,5.21
BEEF,3.6
BEEF,5.06
BEEF,3.53
BEEF,5.46
BEEF,3.8
BEEF,2.53
BEEF,1.94
BEEF,2.65
BEEF,2.04
BEEF,2.34
BEEF,1.8
BEEF,2.66
BEEF,1.84
BEEF,2.64
BEEF,1.83
BEEF,2.68
BEEF,1.86
BEEF,2.29
BEEF,2.29
BEEF,2.29
BEEF,2.15
BEEF,2.13
BEEF,2.14
BEEF,1.74
BEEF,1.73
BEEF,1.76
BEEF,2.33
BEEF,2.12
BEEF,2.24
BEEF,1.95
BEEF,2
BEEF,1.87
BEEF,1.74
BEEF,1.81
BEEF,1.64
BEEF,2.44
BEEF,2.48
BEEF,2.34
BEEF,1.71
BEEF,1.7
BEEF,1.73
BEEF,2.67
BEEF,5.09
BEEF,4.95
BEEF,5.33
BEEF,3.42
BEEF,3.35
BEEF,3.63
BEEF,2.4
BEEF,2.49
BEEF,2.28
BEEF,1.81
BEEF,1.86
BEEF,1.72
BEEF,2.4
BEEF,2.34
BEEF,2.49
BEEF,1.63
BEEF,1.61
BEEF,1.66
BEEF,2.77
BEEF,2.23
BEEF,2.02
BEEF,2.04
BEEF,1.82
BEEF,2
BEEF,2.08
BEEF,1.98
BEEF,2.06
BEEF,2.04
BEEF,1.91
BEEF,2.02
BEEF,2.02
BEEF,1.85
BEEF,2.17
BEEF,2.27
BEEF,2.39
BEEF,2.9
BEEF,2.89
BEEF,3.19
BEEF,2.75
BEEF,2.75
BEEF,2.24
BEEF,2.39
BEEF,2.28
BEEF,2.27
BEEF,2.17
BEEF,3.07
BEEF,3.06
BEEF,3.22
BEEF,2.64
BEEF,2.64
BEEF,2.95
BEEF,2.77
BEEF,2.76
BEEF,3.56
BEEF,2.68
BEEF,2.65
BEEF,3.46
BEEF,3.16
BEEF,3.23
BEEF,3.19
BEEF,2.41
BEEF,2.4
BEEF,2.74
BEEF,3.3
BEEF,3.23
BEEF,3.52
BEEF,3.3
BEEF,3.29
BEEF,3.43
BEEF,2.66
BEEF,2.66
BEEF,2.98
BEEF,1.79
BEEF,2.25
BEEF,2.24
BEEF,0.95
BEEF,0.89
BEEF,1
BEEF,0.97
BEEF,0.81
BEEF,0.91
BEEF,2.21
BEEF,1.57
BEEF,2.2
BEEF,1.46
BEEF,2.53
BEEF,1.88
BEEF,2.11
BEEF,2.3
BEEF,2.41
BEEF,1.85
BEEF,1.71
BEEF,1.89
BEEF,2.14
BEEF,2.51
BEEF,1.74
BEEF,2.08
BEEF,2.28
BEEF,1.69
BEEF,1.54
BEEF,1.68
BEEF,1.82
BEEF,2.37
BEEF,2.33
BEEF,2.35
BEEF,2.34
BEEF,2.33
BEEF,2.35
BEEF,2.34
BEEF,1.45
BEEF,1.47
BEEF,1.37
BEEF,1.45
BEEF,1.47
BEEF,1.37
BEEF,2.48
BEEF,2.52
BEEF,2.46
BEEF,1.83
BEEF,1.91
BEEF,1.73
BEEF,2.49
BEEF,2.53
BEEF,2.47
BEEF,3.2
BEEF,3.24
BEEF,3.03
BEEF,2.88
BEEF,2.9
BEEF,2.88
BEEF,1.88
BEEF,1.91
BEEF,1.78
BEEF,2.34
BEEF,2.35
BEEF,2.34
BEEF,2.34
BEEF,2.35
BEEF,2.34
BEEF,1.45
BEEF,1.47
BEEF,1.37
BEEF,1.45
BEEF,1.47
BEEF,1.37
BEEF,2.5
BEEF,2.55
BEEF,2.48
BEEF,1.84
BEEF,1.93
BEEF,1.73
BEEF,2.5
BEEF,2.55
BEEF,2.48
BEEF,3.22
BEEF,3.25
BEEF,3.04
BEEF,2.89
BEEF,2.91
BEEF,2.89
BEEF,1.88
BEEF,1.91
BEEF,1.78
BEEF,1.73
BEEF,1.93
BEEF,1.84
BEEF,1.71
BEEF,1.8
BEEF,2.47
BEEF,2.51
BEEF,2.48
BEEF,2.58
BEEF,2.61
BEEF,2.59
BEEF,1.88
BEEF,2.7
BEEF,2.06
BEEF,1.84
BEEF,1.4
BEEF,2.78
BEEF,2.06
BEEF,2.04
BEEF,2.71
BEEF,2.38
BEEF,2.09
BEEF,1.89
BEEF,1.39
BEEF,2.41
BEEF,1.57
BEEF,3.23
BEEF,1.9
BEEF,6.81
BEEF,4.38
BEEF,2.72
BEEF,2.04
BEEF,2.27
BEEF,1.18
BEEF,0.76
BEEF,5.7
BEEF,2.25
BEEF,3.83
BEEF,7.17
BEEF,8.44
BEEF,1.78
BEEF,1.95
BEEF,2.78
BEEF,1.95
BEEF,2.21
BEEF,1.82
BEEF,2.96
BEEF,1.96
BEEF,1.61
BEEF,0.47
BEEF,0.38
BEEF,1.12
BEEF,1.15
BEEF,3.01
BEEF,1.89
BEEF,2.21
BEEF,2.52
BEEF,1.81
BEEF,3.72
BEEF,4.44
BEEF,2.54
BEEF,1.97
BEEF,1.29
BEEF,1.11
BEEF,2.57
BEEF,1.94
BEEF,2.52
BEEF,1.89
BEEF,2.2
BEEF,1.91
BEEF,1.88
BEEF,1.37
BEEF,2.36
BEEF,1.53
BEEF,3.09
BEEF,1.84
BEEF,2.6
BEEF,1.95
BEEF,2.77
BEEF,2.95
BEEF,2.3
BEEF,2.29
BEEF,1.72
BEEF,1.38
BEEF,2.99
BEEF,2.18
BEEF,2.33
BEEF,2.78
BEEF,2.82
BEEF,2.99
BEEF,3.17
BEEF,2.44
BEEF,2.88
BEEF,2.89
BEEF,3.11
BEEF,3.29
BEEF,2.04
BEEF,1.84
BEEF,2.4
BEEF,2.08
BEEF,1.91
BEEF,2.49
BEEF,2.07
BEEF,2.16
BEEF,2.14
BEEF,2.06
BEEF,2.17
BEEF,1.81
BEEF,2.93
BEEF,2.81
BEEF,2.35
BEEF,3.2
BEEF,3.09
BEEF,2.94
BEEF,3.79
BEEF,3.02
BEEF,2.8
BEEF,2.77
BEEF,2.74
BEEF,3.02
BEEF,3.09
BEEF,2.9
BEEF,2.89
BEEF,2.77
BEEF,2.58
BEEF,3.64
BEEF,2.93
BEEF,2.76
BEEF,3.05
BEEF,2.9
BEEF,2.38
BEEF,2.83
BEEF,2.85
BEEF,3.23
BEEF,3.05
BEEF,2.24
BEEF,2.71
BEEF,2.77
BEEF,3.08
BEEF,2.89
BEEF,2.09
BEEF,2.6
BEEF,2.68
BEEF,2.93
BEEF,2.74
BEEF,1.94
BEEF,2.48
BEEF,2.59
BEEF,2.78
BEEF,2.58
BEEF,1.79
BEEF,2.37
BEEF,2.5
BEEF,2.63
BEEF,2.43
BEEF,1.59
BEEF,1.6
BEEF,1.61
BEEF,1.63
BEEF,1.91
BEEF,1.81
BEEF,1.81
BEEF,1.81
BEEF,2.35
BEEF,2.42
BEEF,2.66
BEEF,2.85
BEEF,1.92
BEEF,2.81
BEEF,1.92
BEEF,1.96
BEEF,2.46
BEEF,1.6
BEEF,1.84
BEEF,1.6
BEEF,2.93
BEEF,1.93
BEEF,2.35
BEEF,2.87
BEEF,1.85
BEEF,1.64
BEEF,2.7
BEEF,1.99
BEEF,1.87
BEEF,1.61
BEEF,2.02
BEEF,2.04
BEEF,3.04
BEEF,2.88
BEEF,2.12
BEEF,2.12
BEEF,2.06
BEEF,2.43
BEEF,2.61
BEEF,2.84
BEEF,3.01
BEEF,1.63
BEEF,1.63
BEEF,1.63
BEEF,1.92
BEEF,1.66
BEEF,1.95
BEEF,2.01
BEEF,1.97
BEEF,1.86
BEEF,1.83
BEEF,2.89
BEEF,2.81
BEEF,1.92
BEEF,1.97
BEEF,1.9
BEEF,1.88
BEEF,0.66
BEEF,1.54
BEEF,1.77
BEEF,1.54
BEEF,1.68
BEEF,1.55
BEEF,1.77
BEEF,1.92
BEEF,1.78
BEEF,1.74
BEEF,1.71
BEEF,1.57
BEEF,1.54
BEEF,1.68
BEEF,1.5
BEEF,2.46
BEEF,1
BEEF,1.4
CHICKEN,1.75
CHICKEN,0.08
CHICKEN,2.73
CHICKEN,4.55
CHICKEN,3.7
CHICKEN,1.89
CHICKEN,1.19
CHICKEN,1.48
CHICKEN,1.75
CHICKEN,1.31
CHICKEN,7.2
CHICKEN,8.28
CHICKEN,0.23
CHICKEN,0.24
CHICKEN,9.56
CHICKEN,3.4
CHICKEN,1.74
CHICKEN,0.04
CHICKEN,0.15
CHICKEN,3.23
CHICKEN,1.71
CHICKEN,0.18
CHICKEN,0.46
CHICKEN,1.31
CHICKEN,1.79
CHICKEN,1.99
CHICKEN,1.66
CHICKEN,1.53
CHICKEN,0.9
CHICKEN,1.37
CHICKEN,1.38
CHICKEN,1.26
CHICKEN,1.16
CHICKEN,0.89
CHICKEN,1.35
CHICKEN,1.21
CHICKEN,1.17
CHICKEN,1.08
CHICKEN,1.43
CHICKEN,1.52
CHICKEN,1.51
CHICKEN,1.13
CHICKEN,5.86
CHICKEN,10.32
CHICKEN,7.04
CHICKEN,2.49
CHICKEN,3.19
CHICKEN,5.96
CHICKEN,9.03
CHICKEN,8.99
CHICKEN,11.63
CHICKEN,0.79
CHICKEN,1.26
CHICKEN,1.21
CHICKEN,1.14
CHICKEN,0.98
CHICKEN,0.98
CHICKEN,1.44
CHICKEN,1.5
CHICKEN,1.36
CHICKEN,1.31
CHICKEN,0.73
CHICKEN,1.14
CHICKEN,1.06
CHICKEN,0.93
CHICKEN,1.03
CHICKEN,1.49
CHICKEN,1.33
CHICKEN,1.36
CHICKEN,0.7
CHICKEN,0.94
CHICKEN,1.49
CHICKEN,1.62
CHICKEN,1.42
CHICKEN,1.22
CHICKEN,1.04
CHICKEN,1.65
CHICKEN,1.39
CHICKEN,1.27
CHICKEN,0.74
CHICKEN,1.25
CHICKEN,1.19
CHICKEN,1.07
CHICKEN,0.92
CHICKEN,0.37
CHICKEN,1.14
CHICKEN,1.04
CHICKEN,0.88
CHICKEN,0.71
CHICKEN,1.35
CHICKEN,1.34
CHICKEN,1.11
CHICKEN,1.33
CHICKEN,0.76
CHICKEN,1.32
CHICKEN,1.14
CHICKEN,1.37
CHICKEN,0.69
CHICKEN,1.4
CHICKEN,1.43
CHICKEN,1.09
CHICKEN,1.35
CHICKEN,0.78
CHICKEN,1.4
CHICKEN,1.08
CHICKEN,1.4
CHICKEN,1.9
CHICKEN,2.15
CHICKEN,2.42
CHICKEN,2.3
CHICKEN,2.06
CHICKEN,2.98
CHICKEN,2.63
CHICKEN,0.68
CHICKEN,1.45
CHICKEN,1.49
CHICKEN,1.08
CHICKEN,1.37
CHICKEN,0.81
CHICKEN,1.46
CHICKEN,1.13
CHICKEN,1.42
CHICKEN,0.46
CHICKEN,1.29
CHICKEN,1.25
CHICKEN,0.84
CHICKEN,1.13
CHICKEN,0.88
CHICKEN,1.14
CHICKEN,1.16
CHICKEN,1.12
CHICKEN,1.37
CHICKEN,1.61
CHICKEN,1.26
CHICKEN,1.03
CHICKEN,1.21
CHICKEN,5.4
CHICKEN,6.09
CHICKEN,0.89
CHICKEN,1.08
CHICKEN,1.15
CHICKEN,1.33
CHICKEN,1.51
CHICKEN,1.64
CHICKEN,1.04
CHICKEN,1.37
CHICKEN,1.09
CHICKEN,1.43
CHICKEN,5.93
CHICKEN,6.44
CHICKEN,0.92
CHICKEN,1.19
CHICKEN,1.22
CHICKEN,1.64
CHICKEN,1.41
CHICKEN,1.79
CHICKEN,1.09
CHICKEN,1.49
CHICKEN,6.25
CHICKEN,6.8
CHICKEN,0.84
CHICKEN,0.77
CHICKEN,1.58
CHICKEN,0.78
CHICKEN,0.91
CHICKEN,0.74
CHICKEN,0.77
CHICKEN,1.3
CHICKEN,2.41
CHICKEN,2.74
CHICKEN,0.34
CHICKEN,1.05
CHICKEN,1.97
CHICKEN,0.93
CHICKEN,0.95
CHICKEN,1
CHICKEN,1.11
CHICKEN,0.82
CHICKEN,0.93
CHICKEN,0.97
CHICKEN,0.91
CHICKEN,1.16
CHICKEN,0.93
CHICKEN,0.97
CHICKEN,0.97
CHICKEN,0.97
CHICKEN,0.45
CHICKEN,1.09
CHICKEN,0.98
CHICKEN,0.97
CHICKEN,0.97
CHICKEN,0.97
CHICKEN,0.55
CHICKEN,1.07
CHICKEN,0.97
CHICKEN,0.97
CHICKEN,0.99
CHICKEN,0.86
CHICKEN,0.83
CHICKEN,0.51
CHICKEN,1.02
CHICKEN,0.95
CHICKEN,0.93
CHICKEN,12.88
CHICKEN,0.94
CHICKEN,1.27
CHICKEN,1
CHICKEN,0.37
CHICKEN,0.9
CHICKEN,0.94
CHICKEN,1.21
CHICKEN,0.72
CHICKEN,1.1
CHICKEN,0.78
CHICKEN,1.07
CHICKEN,0.6
CHICKEN,0.98
CHICKEN,0.65
CHICKEN,0.51
CHICKEN,1.17
CHICKEN,0.76
CHICKEN,0.69
CHICKEN,1.11
CHICKEN,0.98
CHICKEN,0.57
CHICKEN,1.02
CHICKEN,0.82
CHICKEN,0.49
CHICKEN,0.45
CHICKEN,0.43
CHICKEN,0.43
CHICKEN,0.87
CHICKEN,1.17
CHICKEN,9.19
CHICKEN,0.88
CHICKEN,0.87
CHICKEN,4.8
CHICKEN,0.3
CHICKEN,0.32
CHICKEN,0.39
